epoch	dice_coef	loss	val_dice_coef	val_loss
0	0.3026667187611262	0.5407935749916803	0.2640227600932121	0.5898076295852661
1	0.28603885713077726	0.3898214300473531	0.279791853257588	0.6427769916398185
2	0.33975519027028767	0.35145514068149386	0.1682413454566683	0.46888337816510883
3	0.38960967390310197	0.3292491010257176	0.15641426667571068	0.5887274444103241
4	0.3025378506808054	0.31713556391852243	0.17984976087297713	0.7553494913237435
0	0.3657989370680991	0.31122085806869326	0.14252011477947235	0.6028634011745453
1	0.34687655028842745	0.3039371314502898	0.1760252309697015	0.7530038612229484
2	0.36603058945565	0.3006273621604556	0.13182475524289267	0.469990006514958
3	0.3883527226068757	0.26615345207127655	0.12571725249290466	0.6238855719566345
4	0.4013689987361431	0.27318856939673425	0.14023719727993011	0.8235412580626351
5	0.36514068056236615	0.27045744386586273	0.11077839136123657	0.48950493335723877
6	0.3773596897011712	0.22783048167115166	0.12671960145235062	0.6177452802658081
7	0.42922599400792805	0.28580703196071444	0.1236580280320985	0.86104816198349
8	0.43494615852832796	0.25892471373081205	0.09583204239606857	0.510518593447549
9	0.4091899111157372	0.25548032493818373	0.1017104759812355	0.6693061888217926
10	0.35946365410373327	0.2523589148407891	0.12001592559473855	0.8692518046924046
11	0.41485474326393823	0.24379116432233292	0.0965002030134201	0.5096416388239179
12	0.4154371108327593	0.21578505564303624	0.09989256039261818	0.6727607250213623
13	0.4043122515791938	0.25106403941199895	0.1098661720752716	0.8982823831694466
14	0.45204255268687293	0.25254028467904954	0.08930640135492597	0.523405236857278
15	0.4761000190462385	0.22389293852306547	0.09277317672967911	0.6915959119796753
16	0.38743084243365694	0.21938290908223107	0.11727016951356616	0.8765546338898795
17	0.3828947354446758	0.2562275393442674	0.08395889294998986	0.5340322170938764
0	0.28832641669682096	0.5423319779691242	0.2724076509475708	0.6150891482830048
1	0.3303866675567059	0.4013773444153014	0.24817216396331787	0.6623192599841526
2	0.3164272251583281	0.3407134711742401	0.14745592219488962	0.4710670454161508
3	0.3559667471618879	0.3317674682253883	0.14037419483065605	0.6089532971382141
0	0.25021802234862534	0.5921528538068136	0.2659725546836853	0.5963508784770966
